id,certification,exam,domain,topic,difficulty,question_type,question,correct_keys,explanation,tags,privacy_note,A,B,C,D
MCQ-2201202-0033,CompTIA A+ Core 2,220-1202,Operational Procedures,Managing Backups,hard,single_best_answer,"A backup job shows success, but a restore test has not been performed for months. What is the best risk statement?",B,Backups are only useful if restoration is tested and meets requirements.,"backup,restore","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Successful backup logs prove restores will work.,Restore capability is unverified until tested; backup success alone is incomplete evidence.,Backups are unnecessary if files are in the cloud.,Restore tests are only needed after ransomware.
MCQ-2201202-0034,CompTIA A+ Core 2,220-1202,Operational Procedures,"Privacy, Licensing, and Policies",hard,single_best_answer,An AI tool asks for a real ticket containing student names to generate a better answer. What should you do?,B,Privacy-safe AI use requires synthetic/anonymised examples and no sensitive details.,"AI,privacy","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Paste the full ticket because AI tools need realism.,"Use a synthetic or anonymised version and keep real personal, credential, and network-sensitive details out.",Paste only the student names but not the device names.,Disable MFA to make testing easier.
MCQ-N10009-0035,CompTIA Network+,N10-009,Networking Concepts,OSI Model,hard,single_best_answer,"A user can associate to Wi-Fi, receives an IP address, can ping the gateway, but HTTPS to any website fails while DNS works. Which OSI area is least likely to be the root cause?",A,"Association, DHCP, gateway ping, and DNS working make pure physical-layer failure less likely than higher-layer filtering or application-path issues.","OSI,troubleshooting","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Layer 1 physical wireless signal,Layer 3 IP addressing/routing,Layer 4/7 filtering or application path,Policy/proxy/security inspection
MCQ-N10009-0036,CompTIA Network+,N10-009,Networking Concepts,Network Appliances,hard,single_best_answer,"A firewall is asked to block traffic based on application identity and URL category, not just port and IP. Which capability is being used?",B,Application and URL-aware controls are associated with NGFW/application-layer inspection.,firewall,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Patch panel management,Next-generation firewall/application-aware filtering,Unmanaged switching,Media conversion
MCQ-N10009-0037,CompTIA Network+,N10-009,Networking Concepts,Cloud Models,hard,single_best_answer,"A company wants control of virtual networks, subnets, route tables, and servers but not physical data-centre hardware. Which model best fits?",C,IaaS gives customers control over virtualised infrastructure while the provider manages physical facilities.,"cloud,IaaS","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",SaaS,PaaS,IaaS,DaaS only
MCQ-N10009-0038,CompTIA Network+,N10-009,Networking Concepts,Ports and Protocols,hard,single_best_answer,A monitoring system can ping a device but cannot collect interface counters. Which protocol/port area should you verify?,A,SNMP is commonly used for device/interface monitoring.,"SNMP,ports","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.","SNMP, commonly UDP 161/162 depending on polling/traps","NTP, UDP 123","SMTP, TCP 25","RDP, TCP 3389"
MCQ-N10009-0039,CompTIA Network+,N10-009,Networking Concepts,Transmission Media,hard,single_best_answer,A fibre link between buildings is several kilometres and requires long-distance transmission. Which media choice is generally appropriate?,A,Single-mode fibre is suited to longer-distance optical links.,fiber,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Single-mode fibre,Cat 5e copper,Bluetooth,Unshielded RJ11 telephone cable
MCQ-N10009-0040,CompTIA Network+,N10-009,Networking Concepts,IPv4 Subnetting,hard,single_best_answer,A /26 IPv4 subnet is used for hosts. How many usable host addresses are available?,B,"/26 leaves 6 host bits: 2^6 = 64 addresses, minus network and broadcast = 62 usable.",subnetting,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",30,62,126,254
MCQ-N10009-0041,CompTIA Network+,N10-009,Networking Concepts,IPv4 Addressing,hard,single_best_answer,A device has 192.168.10.50/24 and gateway 192.168.11.1. What is the most likely issue?,A,"With /24, 192.168.10.0/24 does not include 192.168.11.1, so the default gateway is not local.","IPv4,gateway","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",The gateway is outside the device’s local /24 subnet.,The subnet mask is too long to support private IPs.,192.168.x.x addresses cannot use gateways.,The device is using IPv6 only.
MCQ-N10009-0042,CompTIA Network+,N10-009,Network Implementation,Routing,hard,single_best_answer,A router has a static route and a dynamic route to the same prefix. The static route has lower administrative distance. Which route is usually preferred?,B,Administrative distance is a trust/preference metric; lower values are generally preferred when prefix length is equal.,routing,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",The dynamic route because it changes automatically.,The static route because lower administrative distance is preferred.,Neither; traffic is always broadcast.,The route with the longest description.
MCQ-N10009-0043,CompTIA Network+,N10-009,Network Implementation,NAT,hard,single_best_answer,Many internal clients share one public IPv4 address for outbound internet access. Which technology is most likely in use?,A,PAT/NAT overload maps many private hosts to one public IP using port translations.,"NAT,PAT","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",PAT/NAT overload,STP,VXLAN only,Syslog
MCQ-N10009-0044,CompTIA Network+,N10-009,Network Implementation,VLANs and Trunking,hard,single_best_answer,"A VoIP phone and PC share one wall port. The phone tags voice traffic, while the PC sends untagged data traffic through the phone. What switchport concept is most relevant?",A,Shared phone/PC connections often use a voice VLAN for tagged voice traffic and a data/native VLAN for PC traffic.,"VLAN,VoIP","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Voice VLAN with data/native VLAN handling,DNS recursion,NTP stratum,Optical attenuation
MCQ-N10009-0045,CompTIA Network+,N10-009,Network Implementation,Spanning Tree Protocol,hard,single_best_answer,"After someone patches two switch ports together, the network becomes unstable with broadcast storms. Which protocol should reduce this risk?",A,Spanning Tree Protocol helps prevent switching loops.,STP,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",STP,DNSSEC,NTP,SFTP
MCQ-N10009-0046,CompTIA Network+,N10-009,Network Implementation,Wireless Devices,hard,single_best_answer,Users at the far end of a building see strong signal but poor performance and roaming issues. Which finding would best explain this?,A,"Strong signal does not guarantee performance; channel planning, power, roaming, and interference matter.","Wi-Fi,roaming","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Too many APs using overlapping channels/power levels causing co-channel/interference problems.,DNS MX records are missing.,The internet has no public IP.,The switch uses rack ears.
MCQ-N10009-0047,CompTIA Network+,N10-009,Network Operations,Network Documentation,hard,single_best_answer,A technician changes a switch port VLAN to fix a classroom issue but does not document it. What is the main operational risk?,A,Undocumented changes undermine baseline accuracy and future troubleshooting.,"documentation,change","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Future troubleshooting and audits may rely on inaccurate baseline/configuration records.,The switch will stop forwarding all traffic instantly.,DNS records will automatically disappear.,The cable will become crossover.
MCQ-N10009-0048,CompTIA Network+,N10-009,Network Operations,Logs and Monitoring,hard,single_best_answer,"A network is slow, but device CPU and memory look normal. You need to know which conversations are consuming bandwidth. Which data is most useful?",A,Flow data identifies traffic conversations and volume patterns.,"monitoring,flows","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Flow data such as NetFlow/IPFIX/sFlow,Keyboard layout,BIOS boot order,Printer toner level
MCQ-N10009-0049,CompTIA Network+,N10-009,Network Operations,Disaster Recovery,hard,single_best_answer,A business says the maximum tolerable data loss is 15 minutes. Which metric is being described?,B,Recovery Point Objective (RPO) describes acceptable data loss measured in time.,"DR,RPO","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",RTO,RPO,MTTR,MTBF
MCQ-N10009-0050,CompTIA Network+,N10-009,Network Operations,DNS Records,hard,single_best_answer,A domain’s email is being spoofed. Which record type helps receiving mail systems verify authorised senders?,A,SPF is commonly published as TXT and identifies authorised sending sources for a domain.,"DNS,email security","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",SPF TXT record,A record only,PTR record only,CNAME flattening only
MCQ-N10009-0051,CompTIA Network+,N10-009,Network Operations,VPNs,hard,single_best_answer,A VPN connects but internal hostnames fail while internal IP addresses work. Which fix area is most likely?,A,IP works but names fail points toward VPN DNS configuration/search suffix/name resolution.,"VPN,DNS","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",VPN DNS server/search suffix assignment,Monitor colour profile,Printer fuser temperature,RAID stripe size
MCQ-N10009-0052,CompTIA Network+,N10-009,Network Security,Attack Types,hard,single_best_answer,A switch CAM table fills with bogus MAC addresses and begins flooding frames. Which attack best matches?,A,"MAC flooding attempts to exhaust the switch MAC/CAM table, causing flooding behaviour.","switching,attack","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",MAC flooding,DNSSEC validation,NTP drift,RAID degradation
MCQ-N10009-0053,CompTIA Network+,N10-009,Network Security,Segmentation,hard,single_best_answer,A guest Wi-Fi network should reach the internet but not internal servers. Which control best enforces this?,A,Segmentation requires separate network/SSID/VLAN and rules that restrict access.,"segmentation,ACL","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",VLAN/SSID segmentation with firewall rules/ACLs,Changing the SSID name only,Using longer HDMI cables,Increasing DHCP lease time
MCQ-N10009-0054,CompTIA Network+,N10-009,Network Troubleshooting,Methodology,hard,single_best_answer,"A senior technician says, 'Do not change anything yet; define the scope.' Which troubleshooting step is this?",A,Good methodology starts with identifying problem/scope and gathering evidence before changes.,methodology,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Identify the problem and establish a theory based on evidence.,Implement a random fix.,Document after closure only.,Escalate without evidence.
MCQ-SY0701-0055,CompTIA Security+,SY0-701,General Security Concepts,Security Controls,hard,single_best_answer,"A camera, badge reader, and locked server room are primarily what category of control?",A,These are physical security controls that protect access to equipment and spaces.,controls,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Physical controls,Compensating cryptographic controls,Cloud-native only controls,Application-layer controls only
MCQ-SY0701-0056,CompTIA Security+,SY0-701,General Security Concepts,CIA Triad,hard,single_best_answer,A ransomware event makes files unavailable even though confidentiality may not be proven breached. Which CIA principle is most directly harmed?,A,Ransomware commonly disrupts availability by preventing authorised access to data/systems.,"CIA,ransomware","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Availability,Non-repudiation,Obfuscation,Accounting
MCQ-SY0701-0057,CompTIA Security+,SY0-701,General Security Concepts,AAA,hard,single_best_answer,An admin wants logs that prove which account changed a firewall rule. Which part of AAA is most relevant?,C,Accounting records actions for auditability and accountability.,"AAA,logs","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Authentication,Authorization,Accounting,Anonymisation
MCQ-SY0701-0058,CompTIA Security+,SY0-701,General Security Concepts,Zero Trust,hard,single_best_answer,Which design best matches zero trust?,B,Zero trust avoids implicit internal trust and uses continuous verification and least privilege.,zero trust,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Trust every device once it is inside the LAN.,"Verify identity, device posture, and least-privilege access continuously, regardless of network location.",Use one shared admin password for simplicity.,Disable MFA for trusted offices.
MCQ-SY0701-0059,CompTIA Security+,SY0-701,General Security Concepts,Change Management,hard,single_best_answer,A patch is urgent but affects a production identity service. What is the best security-minded approach?,B,"Emergency change can be fast but still needs risk controls, approval, rollback, and validation.",change management,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Patch immediately without rollback planning or notification.,"Follow emergency change process with risk, approval, backup/rollback, communication, and validation.",Never patch identity systems.,Let end users decide whether to patch.
MCQ-SY0701-0060,CompTIA Security+,SY0-701,General Security Concepts,Public Key Infrastructure,hard,single_best_answer,A browser trusts a website certificate because the issuing CA chains to a trusted root. Which PKI concept is being used?,A,Certificate validation relies on a trust chain from end-entity certificate through intermediates to a trusted root.,"PKI,certificates","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Chain of trust,MAC flooding,Data remanence,APIPA
MCQ-SY0701-0061,CompTIA Security+,SY0-701,General Security Concepts,Hashing and Digital Signatures,hard,single_best_answer,Which pairing best describes hashing plus digital signature use?,B,Hashes provide digests; signatures use asymmetric cryptography to support integrity/authenticity/non-repudiation.,"hashing,signatures","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Hashing encrypts data for secrecy; signatures remove the need for keys.,Hashing creates a fixed digest; a digital signature helps prove integrity and signer authenticity.,Hashing makes data impossible to delete.,Digital signatures are only for wireless networks.
