topic_id,certification,exam,section,objective,topic,duration,question_targets
220-1202-014,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.7 – Windows Networking,Windows Network Technologies,8:37,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-015,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.7 – Windows Networking,Configuring Windows Firewall,6:32,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-016,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.7 – Windows Networking,Windows IP Address Configuration,6:45,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-017,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.7 – Windows Networking,Windows Network Connections,13:08,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-018,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.8 – macOS,macOS Overview,11:24,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-019,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.8 – macOS,macOS System Preferences,6:36,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-020,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.8 – macOS,macOS Features,11:17,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-021,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.9 – Linux,Linux,11:11,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-022,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.9 – Linux,Linux Commands Part 1 title slide,,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-023,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.9 – Linux,Linux Commands Part 1,,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-024,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.9 – Linux,Linux Commands Part 2 title slide,,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-025,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.9 – Linux,Linux Commands Part 2,,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-026,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.10 – Installing Applications,Installing Applications,16:27,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-027,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.11 – Cloud Productivity,Cloud Productivity Tools,5:47,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-028,CompTIA A+ Core 2,220-1202,Section 2: Security,2.1 – Security Measures,Physical Security,10:06,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-029,CompTIA A+ Core 2,220-1202,Section 2: Security,2.1 – Security Measures,Physical Access Security,8:37,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-030,CompTIA A+ Core 2,220-1202,Section 2: Security,2.1 – Security Measures,Logical Security,10:38,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-031,CompTIA A+ Core 2,220-1202,Section 2: Security,2.1 – Security Measures,Authentication and Access,12:05,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-032,CompTIA A+ Core 2,220-1202,Section 2: Security,2.2 – Windows Security,Defender Antivirus,5:01,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-033,CompTIA A+ Core 2,220-1202,Section 2: Security,2.2 – Windows Security,Windows Firewall,5:20,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-034,CompTIA A+ Core 2,220-1202,Section 2: Security,2.2 – Windows Security,Windows Security Settings,13:44,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-035,CompTIA A+ Core 2,220-1202,Section 2: Security,2.2 – Windows Security,Active Directory,27:40,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-036,CompTIA A+ Core 2,220-1202,Section 2: Security,2.3 – Wireless Security,Wireless Encryption,6:19,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-037,CompTIA A+ Core 2,220-1202,Section 2: Security,2.3 – Wireless Security,Authentication Methods,7:58,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-038,CompTIA A+ Core 2,220-1202,Section 2: Security,2.4 – Malware,Malware,17:23,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-039,CompTIA A+ Core 2,220-1202,Section 2: Security,2.4 – Malware,Anti-malware Tools,12:45,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-040,CompTIA A+ Core 2,220-1202,Section 2: Security,2.5 – Social Engineering,Social Engineering,13:37,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-041,CompTIA A+ Core 2,220-1202,Section 2: Security,2.5 – Social Engineering,Denial of Service,4:52,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-042,CompTIA A+ Core 2,220-1202,Section 2: Security,2.5 – Social Engineering,On-Path Attacks,7:02,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-043,CompTIA A+ Core 2,220-1202,Section 2: Security,2.5 – Social Engineering,Zero-Day Attacks,3:18,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-044,CompTIA A+ Core 2,220-1202,Section 2: Security,2.5 – Social Engineering,Password Attacks,10:23,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-045,CompTIA A+ Core 2,220-1202,Section 2: Security,2.5 – Social Engineering,Insider Threats,2:30,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-046,CompTIA A+ Core 2,220-1202,Section 2: Security,2.5 – Social Engineering,SQL Injection Attacks,6:18,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-047,CompTIA A+ Core 2,220-1202,Section 2: Security,2.5 – Social Engineering,Cross-site Scripting,7:54,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-048,CompTIA A+ Core 2,220-1202,Section 2: Security,2.5 – Social Engineering,Business Email Compromise,5:59,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-049,CompTIA A+ Core 2,220-1202,Section 2: Security,2.5 – Social Engineering,Supply Chain Attacks,8:04,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-050,CompTIA A+ Core 2,220-1202,Section 2: Security,2.5 – Social Engineering,Security Vulnerabilities,8:47,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-051,CompTIA A+ Core 2,220-1202,Section 2: Security,2.6 – Malware Removal,Removing Malware,11:30,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-052,CompTIA A+ Core 2,220-1202,Section 2: Security,2.7 – Security Best Practices,Security Best Practices,15:15,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-053,CompTIA A+ Core 2,220-1202,Section 2: Security,2.8 – Mobile Device Security,Mobile Device Security,10:28,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-054,CompTIA A+ Core 2,220-1202,Section 2: Security,2.9 – Data Destruction,Data Destruction,6:04,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-055,CompTIA A+ Core 2,220-1202,Section 2: Security,2.10 – SOHO Networks,Securing a SOHO Network,15:03,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-056,CompTIA A+ Core 2,220-1202,Section 2: Security,2.11 – Browser Security,Browser Security,18:56,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-057,CompTIA A+ Core 2,220-1202,Section 3: Software Troubleshooting,3.1 – Troubleshooting Windows,Troubleshooting Windows,17:30,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-058,CompTIA A+ Core 2,220-1202,Section 3: Software Troubleshooting,3.2 – Troubleshooting Mobile Devices,Troubleshooting Mobile Devices,11:30,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-059,CompTIA A+ Core 2,220-1202,Section 3: Software Troubleshooting,3.3 – Troubleshooting Mobile Device Security,Troubleshooting Mobile Device Security,12:16,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-060,CompTIA A+ Core 2,220-1202,Section 3: Software Troubleshooting,3.4 – Troubleshooting Security,Troubleshooting Security Issues,10:16,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-061,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.1 – Documentation and Support Systems,Ticketing Systems,13:48,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-062,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.1 – Documentation and Support Systems,Asset Management,4:51,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-063,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.1 – Documentation and Support Systems,Document Types,7:29,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-064,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.2 – Change Management,Change Management,21:42,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-065,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.3 – Backup and Recovery,Managing Backups,15:01,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-066,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.4 – Safety,Managing Electrostatic Discharge,5:28,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-067,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.4 – Safety,Safety Procedures,4:45,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-068,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.5 – Environmental Impacts,Environmental Impacts,6:28,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-069,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.6 – Privacy and Policies,Incident Response,6:43,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-070,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.6 – Privacy and Policies,"Privacy, Licensing, and Policies",10:54,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-071,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.7 – Communication and Professionalism,Professionalism,4:47,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-072,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.7 – Communication and Professionalism,Communication,7:00,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-073,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.8 – Scripting,Scripting Languages,6:00,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-074,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.8 – Scripting,Scripting Use Cases,8:28,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-075,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.9 – Remote Access,Remote Access,12:49,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-076,CompTIA A+ Core 2,220-1202,Section 4: Operational Procedures,4.10 – Artificial Intelligence,Managing AI,10:38,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
